the 0th hypergraph
1 9 17 27 28 29 33 47 98 140 152 163 183 
0 5 6 15 20 21 23 28 90 125 135 172 181 
0 2 3 6 8 11 31 36 39 62 68 78 85 
0 1 2 6 8 16 17 22 35 38 48 67 78 
0 1 3 6 12 16 23 26 36 74 76 138 184 
0 1 2 4 21 22 27 32 76 86 91 156 159 
0 2 6 11 12 14 15 16 31 32 38 86 152 
1 2 4 6 12 20 36 45 53 54 61 114 135 
0 1 8 9 22 27 47 76 79 85 123 131 137 
0 2 6 7 27 32 34 40 44 53 66 78 118 
0 1 2 6 12 15 26 27 33 52 115 119 159 
0 1 2 5 6 46 57 66 91 134 137 168 175 
0 2 4 11 15 16 27 32 64 92 103 107 120 
4 24 27 31 45 60 94 108 117 123 125 138 183 
1 2 12 25 36 42 54 67 99 113 127 156 168 
1 2 5 8 15 18 24 28 32 37 53 66 132 
1 3 4 12 18 37 55 56 85 89 90 130 167 
0 12 24 29 31 38 39 45 61 77 117 152 176 
0 1 2 3 6 8 11 25 33 37 40 69 149 
0 1 6 9 10 12 16 20 21 49 59 83 176 
0 3 4 7 14 34 53 109 118 120 134 135 175 
1 2 5 12 18 32 52 54 62 112 132 143 171 
0 2 3 4 9 10 28 37 38 46 47 122 180 
0 1 5 20 27 45 68 74 110 131 141 151 171 
0 1 3 4 12 58 77 99 107 140 169 172 174 
0 3 5 8 18 44 45 58 69 78 109 164 179 
1 2 3 4 6 21 23 26 27 67 85 91 112 
0 2 6 7 13 15 18 24 26 28 55 60 132 
0 1 5 10 11 39 47 74 101 130 141 147 168 
2 4 5 13 21 23 30 40 44 63 71 91 155 
0 1 3 5 6 29 47 64 73 81 90 112 152 
0 2 4 5 10 16 26 29 31 33 44 91 181 
0 1 3 6 9 14 15 23 26 44 93 103 164 
0 3 4 7 16 19 21 31 33 36 40 71 125 
0 3 6 9 10 17 19 39 53 64 82 88 96 
0 1 2 3 7 10 25 30 52 65 71 83 124 
0 1 2 5 6 7 21 27 31 63 80 153 178 
0 1 2 5 16 25 27 52 59 79 91 117 129 
0 1 2 4 5 15 32 66 71 73 91 164 171 
0 8 9 15 19 28 44 49 54 68 132 155 163 
0 1 2 4 10 11 34 51 53 63 77 79 930 
0 5 6 11 14 26 28 34 38 120 123 160 161 
0 1 3 4 15 16 20 21 34 84 100 135 166 
0 1 3 4 13 16 27 30 34 35 37 61 63 
2 5 8 21 39 69 82 94 107 109 144 168 994 
0 1 2 9 12 15 17 28 41 48 65 93 105 
0 2 9 13 22 40 50 59 82 93 102 115 142 
0 4 6 7 30 31 35 36 45 50 145 150 156 
0 1 4 6 7 8 9 12 13 19 20 40 106 
0 1 2 3 7 17 44 64 73 81 85 102 134 
1 5 8 15 17 31 52 59 73 75 82 89 171 
0 3 9 10 11 15 23 31 54 96 124 142 171 
0 1 4 5 6 9 10 11 13 22 44 61 98 
0 2 3 5 13 21 83 102 103 105 110 120 136 
0 2 4 9 10 13 15 19 25 32 45 99 106 
0 1 2 4 5 10 12 22 27 79 80 158 163 
0 3 13 15 30 41 51 70 78 88 94 128 140 
0 1 4 11 13 14 19 25 32 48 67 91 149 
1 9 28 31 36 39 55 57 74 91 103 120 121 
0 1 2 3 19 33 44 81 97 98 100 116 141 
0 2 3 19 48 51 75 76 84 101 131 163 183 
0 1 9 10 11 13 18 24 29 58 99 114 187 
2 5 6 7 9 14 17 42 48 49 58 72 183 
0 2 11 17 18 20 27 28 48 73 81 82 154 
0 1 2 3 4 5 38 46 65 67 77 99 133 
1 5 6 12 20 21 29 47 79 100 123 167 997 
0 1 4 9 10 23 45 49 87 89 95 118 136 
0 1 2 3 12 19 85 113 137 153 167 984 987 
0 1 7 21 22 23 39 57 61 67 79 86 183 
1 3 6 11 12 17 28 39 42 49 78 85 138 
0 3 4 7 19 42 54 66 75 97 117 166 170 
0 1 2 4 12 16 18 25 27 28 46 91 104 
1 6 7 8 13 22 33 39 65 66 104 122 175 
0 2 5 7 13 17 27 87 100 122 137 143 180 
1 2 12 13 14 16 28 46 49 54 62 81 121 
0 3 4 11 32 37 42 64 89 91 104 114 140 
1 2 13 28 30 34 44 65 66 71 89 105 120 
0 2 3 7 8 9 12 16 18 44 53 65 69 
0 1 3 4 5 7 13 41 104 119 142 172 498 
2 3 9 43 55 62 64 72 86 110 132 165 961 
0 2 3 7 15 18 30 38 86 103 108 168 180 
0 1 2 4 6 11 26 59 65 91 114 129 156 
0 2 7 9 11 12 15 16 56 86 87 107 131 
0 1 2 11 14 28 56 60 69 71 134 160 172 
1 6 9 15 16 17 22 38 39 43 75 115 179 
1 2 8 11 12 15 19 41 46 92 146 158 159 
3 5 7 17 27 31 38 45 94 103 107 119 168 
0 1 2 4 7 10 24 44 45 100 120 147 154 
1 2 5 10 11 25 38 42 48 56 101 118 171 
0 3 4 15 16 42 53 61 63 82 91 100 164 
5 9 11 13 16 29 64 71 96 113 126 138 144 
0 1 2 11 12 13 15 24 27 70 130 163 177 
0 1 2 4 5 6 8 13 14 82 113 143 155 
0 1 2 8 21 23 25 27 46 50 62 91 93 
0 10 12 40 52 58 64 106 112 114 121 176 178 
0 1 5 11 15 22 31 61 78 99 155 183 986 
3 6 7 8 16 19 21 25 26 36 49 107 146 
1 2 4 6 9 11 14 34 37 62 79 152 941 
0 1 6 8 10 24 25 45 48 63 74 105 941 
4 5 12 14 18 20 32 40 53 79 113 115 945 
1 3 4 6 8 13 15 18 38 44 51 80 147 
0 2 4 5 7 17 49 57 70 94 97 180 980 
0 1 2 3 4 13 21 25 61 62 66 111 152 
0 1 8 9 14 24 39 45 105 129 145 156 941 
1 7 17 19 20 30 31 34 41 42 88 979 987 
0 1 3 18 20 28 30 38 40 43 46 77 104 
0 1 2 3 4 7 8 31 34 66 100 118 226 
1 2 3 7 8 10 12 17 18 22 28 31 89 
0 1 3 5 14 19 22 25 34 65 83 102 605 
0 3 4 7 26 42 47 53 109 129 172 173 866 
0 1 17 19 20 43 53 55 84 104 107 111 151 
0 1 3 10 15 29 31 41 51 57 62 95 162 
0 1 4 9 19 20 90 118 128 178 184 963 967 
0 2 4 5 31 37 124 139 157 158 180 758 957 
0 1 3 10 17 25 36 79 99 109 135 153 180 
0 3 7 9 10 16 19 35 63 65 76 133 141 
2 3 7 9 10 29 33 53 54 62 87 89 105 
0 1 2 5 7 15 29 46 49 76 95 166 174 
0 1 2 3 7 22 31 86 91 98 109 131 152 
0 2 4 7 11 17 24 26 48 65 76 86 144 
0 1 5 6 9 10 34 55 56 137 145 161 998 
2 6 7 16 21 35 45 68 77 148 149 175 972 
1 5 8 9 12 19 25 34 70 94 126 922 964 
0 1 3 5 7 14 16 26 27 30 39 68 121 
0 1 2 4 17 24 49 69 113 154 165 175 183 
0 2 5 7 10 15 24 54 59 64 98 150 173 
0 3 4 6 7 12 31 102 112 162 163 173 261 
0 2 5 13 14 30 45 54 68 77 104 141 533 
0 1 2 3 4 26 35 57 72 101 184 842 934 
0 1 6 9 26 31 34 43 48 55 59 159 959 
1 2 4 10 18 24 30 32 96 97 109 151 931 
0 5 12 30 49 57 64 71 112 152 938 986 991 
0 4 6 7 9 24 37 43 70 84 152 174 932 
1 2 3 4 6 25 33 39 44 51 55 66 68 
1 2 4 7 14 20 41 121 130 136 141 142 922 
0 6 10 11 12 17 19 24 76 80 95 124 172 
0 3 7 8 28 35 68 91 93 97 133 153 940 
1 8 12 24 27 30 31 51 72 87 106 113 185 
0 1 4 5 10 17 38 46 57 58 93 159 921 
1 4 12 13 41 47 52 70 79 88 91 169 181 
7 9 27 30 81 85 89 95 96 97 121 123 920 
0 3 6 10 13 14 17 18 66 89 99 911 973 
0 8 38 66 72 73 79 120 132 146 147 162 943 
0 1 2 4 6 25 27 43 66 69 135 168 974 
0 1 2 3 5 15 40 77 85 97 759 898 993 
0 2 6 8 13 25 26 33 76 144 693 941 995 
0 1 3 4 5 15 20 55 87 94 104 105 108 
0 1 2 3 7 24 27 40 81 101 169 180 183 
1 4 6 19 22 32 50 105 117 130 135 141 172 
0 4 15 27 52 68 72 81 85 119 128 173 964 
