the 0th hypergraph
48 605 668 810 993 
127 462 517 591 618 
32 50 267 627 817 
243 648 846 953 966 
5 8 282 444 846 
334 605 784 886 903 
30 99 211 740 922 
161 175 384 675 677 
115 321 404 427 884 
249 321 756 778 980 
99 104 429 467 663 
94 332 530 864 940 
172 501 642 665 959 
35 238 295 650 918 
433 730 903 960 999 
8 444 649 933 974 
90 98 136 593 657 
9 146 167 574 701 
163 477 501 739 911 
516 567 743 844 983 
34 275 552 670 746 
19 53 115 215 941 
17 420 550 631 838 
18 440 775 801 828 
314 370 612 679 798 
179 570 717 740 745 
429 458 786 894 988 
207 215 586 877 925 
436 473 609 635 645 
358 585 781 851 935 
16 302 376 434 577 
29 133 168 194 253 
133 359 503 844 926 
258 476 655 787 818 
160 344 608 708 766 
146 597 642 725 999 
223 284 568 658 747 
12 208 218 234 906 
393 484 485 550 745 
90 219 330 502 931 
5 235 637 768 846 
10 716 802 820 893 
164 280 614 758 807 
190 446 722 754 867 
96 177 270 517 871 
165 578 724 803 882 
197 235 356 923 970 
446 502 582 771 841 
119 120 230 647 932 
58 96 390 576 980 
238 438 453 751 813 
85 236 385 696 942 
62 84 352 819 828 
170 539 612 632 837 
109 164 496 540 746 
101 251 515 522 733 
100 173 658 769 794 
184 201 323 681 924 
250 312 452 691 737 
35 419 646 807 999 
308 400 401 435 666 
345 354 602 655 691 
285 314 458 616 819 
171 339 376 789 857 
218 240 412 718 746 
2 3 639 675 689 
139 273 308 329 520 
133 154 290 415 797 
68 176 233 535 578 
45 47 57 725 819 
78 347 471 511 557 
84 87 105 425 968 
160 220 335 484 538 
18 31 411 469 715 
102 162 700 854 959 
122 781 816 846 991 
185 294 484 657 680 
414 474 684 711 791 
14 91 236 300 810 
96 106 713 814 858 
104 247 335 844 930 
69 81 684 812 930 
739 751 773 794 828 
514 538 558 708 924 
135 292 364 417 782 
48 54 363 846 960 
169 785 892 977 979 
286 359 374 427 907 
167 507 755 761 807 
15 181 224 618 950 
9 75 129 260 985 
97 481 768 776 787 
116 722 840 846 864 
661 704 771 885 891 
181 431 502 710 919 
42 193 304 481 616 
14 347 740 772 827 
190 408 533 537 894 
62 502 551 561 727 
234 322 377 801 828 
276 300 336 553 976 
166 578 670 726 997 
262 492 510 525 776 
138 625 729 742 747 
175 177 401 896 996 
158 529 842 926 955 
3 19 184 255 474 
283 445 693 765 988 
288 301 727 962 981 
55 106 254 388 818 
408 473 654 741 798 
197 208 210 427 840 
251 485 564 830 956 
330 355 379 943 965 
39 62 361 484 960 
212 226 441 786 983 
4 582 637 751 827 
323 363 391 455 618 
109 212 523 714 919 
251 257 283 768 954 
235 256 580 606 974 
165 186 297 648 748 
9 219 369 875 949 
5 55 214 421 998 
168 287 561 648 741 
40 175 211 466 482 
200 229 384 648 762 
45 94 99 377 859 
107 180 258 660 779 
102 133 199 601 675 
